cod,title_en,title_fr
BOX20CW151SSS01,20KG LP ALL PURPOSE PRINTED # 151,20KG LP ALL PURPOSE PRINTED # 151
BOX20CW154SSS01,20KG BROWN BOX,20KG BROWN BOX
BOX210S152SSS01,12x210ML SPRAY,12x210ML SPRAY
BOX237P191SSS01,12x237ML PET ROUND,12x237ML PET ROUND
BOX23LJ206SSS01,6 x 2.3L PET # 206,6 x 2.3L PET # 206
BOX250J184SSS01,12 x 250ml JARS,12 x 250ml JARS
BOX25GR183SSS01,12 x 250ml DORICA # 183,12 x 250ml DORICA # 183
BOX25GR211SSS01,6 x 250ml DORICA,6 x 250ml DORICA
BOX25GS143SSS01,6 x 250ml GLASS,6 x 250ml GLASS
BOX25GS175SSS01,12 x 250ml MARASCA,12 x 250ml MARASCA
BOX25GS181SSS01,10 x 250ml MARASCA,10 x 250ml MARASCA
BOX284L203SSS01,4  x 2.84L HDPE # 203,4  x 2.84L HDPE # 203
BOX284U180SSS01,6  x 2.84L US,6  x 2.84L US
BOX2PVC013SSS01,8 x 2L PVC (225),8 x 2L PVC (225)
BOX2PVC226SSS01,PARTITION 8x2L PVC,PARTITION 8x2L PVC
BOX378U179SSS01,6 x 3.78L US,6 x 3.78L US
BOX37GS111SSS01,12 x 375ML MARASCA,12 x 375ML MARASCA
BOX37GS170SSS01,12X375ML PARTITION,12X375ML PARTITION
BOX387S210SSS01,STRAIGHT SPRAY CAN,STRAIGHT SPRAY CAN
BOX3LHD148SSS01,4 x 3L # 148,4 x 3L # 148
BOX3LHD168SSS01,4 x 3L EXPORT,4 x 3L EXPORT
BOX3LHD194SSS01,4 x 3L BOX SPECIAL # 194,4 x 3L BOX SPECIAL # 194
BOX3LHD306SSS01,TRAY 3L SALAD,TRAY 3L SALAD
BOX3LHDCANDUB01,THEIR BOX 6x3L,THEIR BOX 6x3L
BOX3LHDCANFIN01,THEIR BOX 6x3L,THEIR BOX 6x3L
BOX3LPE176SSS01,4 x 3L POMACE,4 x 3L POMACE
BOX3LPE222SSS01,4 x 3L PET,4 x 3L PET
BOX3LPE306SSS01,TRAY 3L SALAD PET BOTTLE,TRAY 3L SALAD PET BOTTLE
BOX3LTC177SSS01,4 x 3L GFS OLIVE,4 x 3L GFS OLIVE
BOX3LTC190SSS01,4 x 3L TIN CAN OLIVE,4 x 3L TIN CAN OLIVE
BOX405J166SSS01,12 x 375GR JARS # 166,12 x 375GR JARS # 166
BOX405J174SSS01,6 x 405ML JARS # 174,6 x 405ML JARS # 174
BOX473R150SSS01,12 x 473ML # 218,12 x 473ML # 218
BOX4LHD117SSS01,4 x 4L,4 x 4L
BOX500J185SSS01,12X500ML PET JARS # 185,12X500ML PET JARS # 185
BOX50GA227SSS01,6 x 500ML ALMA GLASS,6 x 500ML ALMA GLASS
